,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
78,Yellowknife,62.456,-114.3525,-0.58,97,100,6.53,CA,1638414594
79,Mount Isa,-20.7333,139.5,100.17,17,0,12.66,AU,1638414595
80,Rafaela,-31.2503,-61.4867,70.99,55,0,1.99,AR,1638414595
81,Rivne,50.6231,26.2274,37.83,89,100,16.44,UA,1638414595
82,Avarua,-21.2078,-159.775,77.05,88,20,10.36,CK,1638414595
83,Havre-St-Pierre,50.2334,-63.5986,25.16,93,90,4.61,CA,1638414596
84,Nagato,34.3833,131.2,48.2,52,6,11.54,JP,1638414596
85,Baikingon,8.4722,124.5536,81.52,76,89,5.99,PH,1638414596
86,Troitskoye,52.9821,84.6757,14.02,87,5,5.68,RU,1638414597
87,Ponta do Sol,32.6667,-17.1,65.71,73,18,5.66,PT,1638414597
88,Arraial do Cabo,-22.9661,-42.0278,73.13,88,43,8.55,BR,1638414597
89,Hasaki,35.7333,140.8333,57.29,34,0,15.84,JP,1638414597
90,Tasiilaq,65.6145,-37.6368,26.13,92,100,34.85,GL,1638414556
91,Astoria,46.1879,-123.8313,52.93,98,90,1.99,US,1638414339
92,Kirkwall,58.9848,-2.9587,39.25,65,40,29.93,GB,1638414598
93,Isangel,-19.55,169.2667,82.87,71,86,13.69,VU,1638414598
94,Ullapool,57.8987,-5.1604,36.36,77,92,10.74,GB,1638414598
95,Alto Longá,-5.2511,-42.2103,81.41,57,100,4.16,BR,1638414599
96,Pombas,17.1503,-25.0201,71.38,65,100,16.89,CV,1638414599
97,Mayor Pablo Lagerenza,-19.9309,-60.7718,74.73,90,100,5.32,PY,1638414599
98,Lālmohan,22.3384,90.7419,75.61,61,3,6.13,BD,1638414600
99,Tuktoyaktuk,69.4541,-133.0374,-8.5,94,100,5.32,CA,1638414600
100,Manta,-0.95,-80.7333,73.18,83,40,6.91,EC,1638414600
101,Chokurdakh,70.6333,147.9167,-36.22,100,92,6.31,RU,1638414600
102,East London,-33.0153,27.9116,69.03,94,100,0.72,ZA,1638414601
103,Puerto Ayora,-0.7393,-90.3518,68.38,90,43,8.39,EC,1638414601
104,Kungurtug,50.5994,97.5228,8.89,75,41,1.25,RU,1638414601
105,Vardø,70.3705,31.1107,34.27,58,100,30.42,NO,1638414601
106,Yurla,59.3259,54.3223,19.92,95,70,4.61,RU,1638414602
107,Mossamedes,-15.1961,12.1522,69.71,83,98,5.57,AO,1638414602
108,Abalak,58.1286,68.5944,34.36,80,100,13.42,RU,1638414602
109,Tiksi,71.6872,128.8694,-28.93,100,78,4.41,RU,1638414603
110,Birgunj,27.0104,84.8774,70.39,53,99,0.65,NP,1638414603
111,Ambon City,-3.6954,128.1814,77.14,83,40,6.91,ID,1638414603
112,Talnakh,69.4865,88.3972,-23.06,98,24,4.79,RU,1638414604
113,Salalah,17.0151,54.0924,72.25,45,0,5.79,OM,1638414604
114,Luwuk,-0.9516,122.7875,84.38,67,100,2.06,ID,1638414604
115,Kwinana,-32.25,115.7667,77.18,51,0,9.84,AU,1638414605
116,Tabou,4.423,-7.3528,78.4,84,27,5.53,CI,1638414605
117,Saint-Philippe,-21.3585,55.7679,75.11,84,56,11.61,RE,1638414543
118,Havøysund,70.9963,24.6622,31.08,62,100,24.9,NO,1638414605
119,Ouro Fino,-22.2831,-46.3692,63.68,86,0,4.29,BR,1638414606
120,Ribeira Grande,38.5167,-28.7,63.99,81,4,4.83,PT,1638414606
121,Tuatapere,-46.1333,167.6833,68.83,53,100,7.05,NZ,1638414606
122,Topchikha,52.8192,83.1185,16.38,89,5,5.01,RU,1638414607
123,Port-Gentil,-0.7193,8.7815,79.38,83,100,5.84,GA,1638414607
124,Havelock,34.8791,-76.9013,57.94,77,96,7.0,US,1638414608
125,Camacha,33.0833,-16.3333,62.02,72,40,10.36,PT,1638414608
126,Mattru,7.6244,-11.8332,74.95,94,98,1.23,SL,1638414608
127,Ozinki,51.1786,49.6769,27.61,82,9,10.09,RU,1638414609
128,Henties Bay,-22.116,14.2845,57.85,95,8,4.38,NA,1638414609
129,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,90,31.32,RU,1638414609
130,Pisco,-13.7,-76.2167,64.45,82,0,6.91,PE,1638414609
131,Fortuna,40.5982,-124.1573,51.66,59,90,0.0,US,1638414610
132,Youghal,51.95,-7.8506,39.54,87,22,13.98,IE,1638414610
133,Guadalupe y Calvo,26.1,-106.9667,47.44,73,33,4.43,MX,1638414610
134,Imbituba,-28.24,-48.6703,71.82,82,100,7.49,BR,1638414611
135,Esperance,-33.8667,121.9,66.51,59,24,15.68,AU,1638414611
136,Dhārchula,29.85,80.5333,62.91,47,100,2.82,IN,1638414611
137,Caucayá,-0.1934,-74.7819,75.04,84,99,2.37,CO,1638414612
138,Kirakira,-10.4544,161.9205,83.73,77,36,2.46,SB,1638414612
139,Bethel,41.3712,-73.414,42.19,76,90,4.61,US,1638414612
140,Saskylakh,71.9167,114.0833,-35.36,100,98,1.39,RU,1638414612
141,Umm Kaddadah,13.6017,26.6876,70.29,25,0,19.6,SD,1638414613
142,Te Anau,-45.4167,167.7167,72.19,49,100,4.14,NZ,1638414613
143,Pervomayskoye,43.919,46.7102,40.57,66,100,6.13,RU,1638414613
144,Aloleng,16.1307,119.7824,81.45,63,85,9.98,PH,1638414614
145,Mitsamiouli,-11.3847,43.2844,80.11,76,35,12.97,KM,1638414614
146,Tessalit,20.1986,1.0114,70.12,18,36,9.19,ML,1638414614
147,Nesbyen,60.5681,9.1027,23.02,91,29,4.54,NO,1638414614
148,Urusha,54.05,122.9,10.17,61,93,5.66,RU,1638414615
149,Kuala Terengganu,5.3302,103.1408,78.19,88,99,9.75,MY,1638414615
150,Pangai,-19.8,-174.35,80.71,69,75,13.8,TO,1638414615
151,Vanavara,60.34,102.2797,-1.3,96,100,3.06,RU,1638414616
152,Sioux Lookout,50.1001,-91.917,32.38,98,100,6.87,CA,1638414616
153,São Filipe,14.8961,-24.4956,74.71,68,100,11.18,CV,1638414616
154,Rock Sound,24.9,-76.2,78.49,63,3,12.08,BS,1638414558
155,Kanigoro,-8.13,112.219,82.31,76,100,6.29,ID,1638414616
156,Carballo,43.213,-8.691,52.86,87,100,12.91,ES,1638414617
157,Aksarka,66.5606,67.7975,0.37,96,100,14.29,RU,1638414617
158,Jiuquan,39.7432,98.5174,31.66,26,0,6.24,CN,1638414617
159,Praia,14.9215,-23.5087,73.94,73,75,18.41,CV,1638414618
160,Sechura,-5.5569,-80.8222,66.22,80,100,8.43,PE,1638414618
161,Makubetsu,45.3714,141.8211,26.31,86,75,27.63,JP,1638414618
162,Yangambi,0.8102,24.4336,68.14,99,100,0.56,CD,1638414618
163,Dunedin,-45.8742,170.5036,59.18,84,100,15.9,NZ,1638414619
164,Derzhavīnsk,51.1,66.3167,38.28,71,100,17.47,KZ,1638414619
165,Inhambane,-23.865,35.3833,72.12,86,37,9.01,MZ,1638414619
166,Duku,11.2361,4.9073,72.21,23,98,4.21,NG,1638414620
167,Muros,42.7762,-9.0603,55.83,93,98,20.92,ES,1638414620
168,Flinders,-34.5833,150.8552,84.79,71,41,13.06,AU,1638414620
169,Morropón,-5.1822,-79.9689,71.64,74,100,4.68,PE,1638414620
170,Paraty,-23.2178,-44.7131,72.46,97,100,1.79,BR,1638414621
171,Palmerston,-12.486,130.9833,98.04,58,75,8.05,AU,1638414621
172,Berthierville,46.0834,-73.1824,29.14,78,99,1.99,CA,1638414621
173,Qandala,11.472,49.8728,74.23,52,0,4.43,SO,1638414622
174,Santiago,-33.4569,-70.6483,65.86,50,0,9.22,CL,1638414588
175,Khorinsk,52.1657,109.7726,16.93,65,88,7.65,RU,1638414622
176,Portland,45.5234,-122.6762,57.74,92,40,1.99,US,1638414010
177,Hong Kong,22.2855,114.1577,66.04,42,6,1.01,HK,1638413809
178,Sabana Grande,18.0777,-66.9604,78.01,88,88,1.01,PR,1638414622
179,Nanchong,30.7951,106.0847,57.16,49,9,3.18,CN,1638414623
180,Quang Ngai,15.1167,108.8,70.02,89,100,9.24,VN,1638414354
181,Port Lincoln,-34.7333,135.8667,64.72,55,36,17.56,AU,1638414623
182,Khuzdar,27.7384,66.6434,52.84,39,0,1.59,PK,1638414623
183,Kjøpsvik,68.097,16.3742,31.05,72,100,17.85,NO,1638414623
184,Hailar,49.2,119.7,15.44,69,100,18.19,CN,1638414496
185,Baião,-2.7906,-49.6717,77.56,76,55,2.57,BR,1638414624
186,Ancud,-41.8697,-73.8203,45.93,80,100,4.81,CL,1638414624
187,Todos Santos,23.45,-110.2167,75.0,74,33,6.02,MX,1638414625
188,Kapaa,22.0752,-159.319,82.38,77,75,1.99,US,1638414625
189,Matamoros,25.5333,-103.25,73.51,38,75,0.0,MX,1638414619
190,Adrar,20.5022,-10.0711,67.73,14,100,10.25,MR,1638414625
191,Rocha,-34.4833,-54.3333,53.89,84,66,3.6,UY,1638414626
192,Bemidji,47.4736,-94.8803,43.09,70,1,14.97,US,1638414626
193,Kiryat Gat,31.61,34.7642,63.28,100,53,8.08,IL,1638414626
194,Port-Cartier,50.0334,-66.8654,14.22,72,86,9.98,CA,1638414627
195,Shīeli,44.1667,66.75,50.04,38,98,20.51,KZ,1638414627
196,Ambilobe,-13.2,49.05,75.0,72,7,2.93,MG,1638414627
197,Avera,33.194,-82.5271,60.67,50,95,7.38,US,1638414627
198,Aklavik,68.2191,-135.0107,-14.49,99,100,9.64,CA,1638414628
199,Ballina,-28.8667,153.5667,77.95,79,40,16.84,AU,1638414628
200,Bengkulu,-3.8004,102.2655,82.69,67,52,6.51,ID,1638414628
201,Port Blair,11.6667,92.75,78.84,89,90,6.91,IN,1638414629
202,Comodoro Rivadavia,-45.8667,-67.5,55.26,30,0,27.63,AR,1638414629
203,West Bay,19.3667,-81.4167,79.0,80,20,1.99,KY,1638414629
204,Flin Flon,54.7682,-101.865,9.14,91,100,7.52,CA,1638414629
205,Nanortalik,60.1432,-45.2371,32.67,98,100,21.18,GL,1638414630
206,Cidreira,-30.1811,-50.2056,65.01,71,93,6.69,BR,1638414630
207,Cherskiy,68.75,161.3,-34.65,100,62,4.07,RU,1638414630
208,Arona,28.0996,-16.681,61.79,64,20,1.99,ES,1638414392
209,Road Town,18.4167,-64.6167,80.69,77,93,19.44,VG,1638414629
210,Hithadhoo,-0.6,73.0833,82.06,74,91,5.82,MV,1638414626
211,Xichang,27.8964,102.2634,54.01,66,100,1.07,CN,1638414631
212,Sarkand,45.41,79.9186,37.06,63,100,5.39,KZ,1638414631
213,Leningradskiy,69.3833,178.4167,-15.21,89,100,3.33,RU,1638414631
214,San Rafael,-34.6177,-68.3301,69.87,55,19,9.6,AR,1638414632
215,Severo-Kuril'sk,50.6789,156.125,37.99,82,98,26.44,RU,1638414576
216,Ürümqi,43.801,87.6005,9.55,85,1,2.24,CN,1638414632
217,Ginir,7.1333,40.7,52.77,48,34,3.78,ET,1638414632
218,Yulara,-25.2406,130.9889,100.56,9,0,1.3,AU,1638414633
219,Boshnyakovo,49.6333,142.1667,20.3,80,100,31.83,RU,1638414633
220,Władysławowo,54.7909,18.4009,40.93,75,100,24.83,PL,1638414633
221,Bath,51.3779,-2.3591,37.87,88,6,6.2,GB,1638414633
222,Okha,53.5739,142.9478,19.53,87,100,46.06,RU,1638414634
223,Bonthe,7.5264,-12.505,76.98,86,98,4.03,SL,1638414634
224,Xining,36.6167,101.7667,26.29,35,91,2.64,CN,1638414634
225,Price,39.5994,-110.8107,44.11,52,1,3.44,US,1638414635
226,Copiapó,-27.3667,-70.3333,53.29,55,69,1.41,CL,1638414635
227,Nigel,-26.4314,28.4771,62.2,85,58,7.31,ZA,1638414635
228,Mahanoro,-19.9,48.8,74.77,84,55,1.63,MG,1638414635
229,Half Moon Bay,37.4636,-122.4286,67.12,69,1,0.0,US,1638414472
230,Kruisfontein,-34.0033,24.7314,63.88,89,100,14.52,ZA,1638414636
231,Pula,44.8683,13.8481,55.96,71,75,10.36,HR,1638414636
232,Kraksaan,-7.7585,113.3962,85.14,67,97,3.65,ID,1638414636
233,Khasan,42.4308,130.6434,33.87,51,2,8.66,RU,1638414637
234,Khatanga,71.9667,102.5,-40.88,100,92,1.23,RU,1638414637
235,Shiroishi,38.0033,140.6183,49.48,74,51,15.99,JP,1638414637
236,Onega,63.9061,38.1404,16.75,96,99,3.67,RU,1638414637
237,Kaoma,-14.7833,24.8,65.84,72,99,4.5,ZM,1638414638
238,Vestmanna,62.1564,-7.1664,32.92,55,75,21.85,FO,1638414638
239,Sinnamary,5.3833,-52.95,78.17,89,100,10.83,GF,1638414638
240,Dale,38.1689,-86.99,51.46,100,1,4.61,US,1638414638
241,Barrow,71.2906,-156.7887,-11.18,70,90,9.22,US,1638414639
242,Les Cayes,18.2,-73.75,75.43,78,48,3.89,HT,1638414639
243,Wuwei,37.9281,102.6414,35.62,17,5,2.84,CN,1638414639
244,Linxia Chengguanzhen,35.6003,103.2064,31.39,47,100,0.74,CN,1638414522
245,Wynyard,-41.0,145.7167,73.98,59,100,4.81,AU,1638414640
246,Asău,46.4333,26.4,42.28,79,61,7.9,RO,1638414640
247,Oktyabr'skiy,54.4815,53.471,27.07,90,64,9.17,RU,1638414640
248,Yumen,40.2833,97.2,28.76,28,0,6.87,CN,1638414640
249,Montepuez,-13.1256,38.9997,69.71,92,100,3.94,MZ,1638414641
250,Takoradze,4.8845,-1.7554,79.12,84,56,6.06,GH,1638414641
251,Matveyevka,52.15,56.1833,32.95,97,100,13.44,RU,1638414641
252,Soyo,-6.1349,12.3689,77.16,89,99,4.88,AO,1638414642
253,Salamiyah,35.0113,37.0532,50.65,67,7,12.41,SY,1638414642
254,Codrington,-38.2667,141.9667,63.19,76,76,14.32,AU,1638414642
255,Graaff-Reinet,-32.2522,24.5308,61.92,74,86,4.81,ZA,1638414642
256,Pitimbu,-7.4706,-34.8086,79.39,81,94,10.4,BR,1638414643
257,Troitsko-Pechorsk,62.7084,56.1964,15.46,95,100,5.68,RU,1638414643
258,La Libertad,-2.2333,-80.9,71.37,81,100,8.79,EC,1638414643
259,Bandarbeyla,9.4942,50.8122,74.26,67,0,12.17,SO,1638414643
260,Caravelas,-17.7125,-39.2481,73.87,95,74,7.58,BR,1638414644
261,Ati,13.2154,18.3353,73.27,22,6,14.65,TD,1638414644
262,Guiratinga,-16.3494,-53.7583,72.55,88,63,1.05,BR,1638414644
263,Nkhotakota,-12.9274,34.2961,75.85,73,4,1.25,MW,1638414645
264,Tucumcari,35.1717,-103.725,42.64,31,1,0.0,US,1638414645
265,Dingle,10.9995,122.6711,79.16,88,100,12.97,PH,1638414645
266,‘Āhuimanu,21.4447,-157.8378,80.31,68,90,8.05,US,1638414645
267,Igarka,67.4667,86.5833,-18.85,95,99,6.76,RU,1638414646
268,Salina Cruz,16.1667,-95.2,78.24,71,77,20.71,MX,1638414646
269,Boli,45.7667,130.5167,20.98,71,100,9.04,CN,1638414646
270,Alofi,-19.0595,-169.9187,73.29,94,90,16.11,NU,1638414647
271,Mareeba,-17.0,145.4333,96.44,44,95,5.28,AU,1638414647
272,Atikokan,48.7555,-91.6216,36.73,92,100,15.05,CA,1638414647
273,Port Hardy,50.6996,-127.4199,45.75,79,100,13.71,CA,1638414647
274,San Ramon,37.7799,-121.978,65.37,67,1,0.0,US,1638414648
275,Makkah al Mukarramah,21.4267,39.8261,71.29,70,0,2.06,SA,1638414648
276,Iqaluit,63.7506,-68.5145,10.51,91,100,4.16,CA,1638414648
277,Marzuq,14.4,46.4667,54.63,35,0,0.89,YE,1638414649
278,Olafsvik,64.8945,-23.7142,37.27,97,100,33.38,IS,1638414649
279,Nemuro,43.3236,145.575,34.59,57,30,31.54,JP,1638414649
280,Chilliwack,49.1747,-121.9443,55.11,94,100,7.0,CA,1638414384
281,Vostok,46.4856,135.8833,7.45,78,13,5.66,RU,1638414650
282,Coquimbo,-29.9533,-71.3436,58.73,82,0,2.3,CL,1638414650
283,Valparaíso,-33.0393,-71.6273,55.04,76,0,3.44,CL,1638414650
284,Enshi,30.3,109.4833,54.97,65,16,0.6,CN,1638414651
285,Mayumba,-3.432,10.6554,75.76,91,96,4.23,GA,1638414651
286,Atar,20.5169,-13.0499,68.88,14,100,9.44,MR,1638414651
287,Madison,34.7334,-86.5667,56.84,83,75,14.0,US,1638414652
288,Tuy Hoa,13.0833,109.3,73.54,87,100,15.41,VN,1638414652
289,Ulaangom,49.9811,92.0667,8.65,81,86,3.18,MN,1638414652
290,Jacksonville,30.3322,-81.6556,59.0,86,75,0.0,US,1638414529
291,Naze,28.3667,129.4833,58.41,65,87,12.97,JP,1638414652
292,Rognan,67.0953,15.3878,18.88,90,100,1.43,NO,1638414595
293,Umba,66.6871,34.3429,22.78,80,100,16.58,RU,1638414653
294,Carnarvon,-24.8667,113.6333,75.22,51,0,22.77,AU,1638414653
295,Lompoc,34.6391,-120.4579,68.14,100,90,0.0,US,1638414653
296,Manzhouli,49.6,117.4333,14.86,65,0,25.01,CN,1638414634
297,Meulaboh,4.1363,96.1285,80.91,76,47,5.64,ID,1638414654
298,Provideniya,64.3833,-173.3,0.36,50,0,4.47,RU,1638414654
299,Oudtshoorn,-33.5907,22.2014,60.55,79,100,6.2,ZA,1638414654
300,Bend,44.0582,-121.3153,57.49,68,1,1.01,US,1638414361
301,Ternate,0.8,127.4,82.09,77,100,8.52,ID,1638414655
302,Nome,64.5011,-165.4064,-9.33,65,1,6.91,US,1638414467
303,Pāsighāt,28.0667,95.3333,73.76,42,94,1.25,IN,1638414655
304,Cartagena,10.3997,-75.5144,78.42,89,20,3.44,CO,1638414644
305,Sørland,67.667,12.6934,35.83,54,100,35.86,NO,1638414388
306,Bashtanka,47.4072,32.4387,31.17,82,53,7.67,UA,1638414655
307,Vitim,59.4511,112.5578,-1.05,94,100,6.29,RU,1638414656
308,Pevek,69.7008,170.3133,-9.81,96,99,4.74,RU,1638414656
309,Esso,55.9333,158.7,24.69,96,100,9.26,RU,1638414656
310,Cairns,-16.9167,145.7667,101.07,59,92,14.97,AU,1638414657
311,Shar,49.5886,81.0453,18.57,75,1,11.7,KZ,1638414657
312,Awjilah,29.1081,21.2869,55.0,77,78,4.41,LY,1638414657
313,Marovoay,-16.1,46.6333,77.14,71,5,4.85,MG,1638414658
314,Lagoa,39.05,-27.9833,62.8,82,0,7.83,PT,1638414658
315,Solwezi,-12.1688,26.3894,60.21,82,74,1.74,ZM,1638414658
316,Kaeo,-35.1,173.7833,67.32,93,100,10.18,NZ,1638414658
317,Ust'-Kan,50.9276,84.761,7.59,73,2,4.56,RU,1638414659
318,Kahului,20.8947,-156.47,79.86,80,40,17.27,US,1638414488
319,Angoche,-16.2325,39.9086,76.73,87,3,5.93,MZ,1638414659
320,Sittwe,20.15,92.9,77.45,53,16,6.13,MM,1638414659
321,Rundu,-17.9333,19.7667,68.76,71,96,5.73,NA,1638414660
322,Chicama,-7.8447,-79.1469,61.34,81,96,5.37,PE,1638414660
323,Meadow Lake,34.8014,-106.5436,53.17,30,58,3.69,US,1638414660
324,Honningsvåg,70.9821,25.9704,36.19,55,100,28.68,NO,1638414660
325,Haines Junction,60.7522,-137.5108,13.53,98,100,0.94,CA,1638414661
326,Kosmynino,57.5818,40.7643,22.48,92,99,13.51,RU,1638414661
327,Port Elizabeth,-33.918,25.5701,66.09,85,99,18.28,ZA,1638414661
328,Yangi Marg`ilon,40.4272,71.7189,34.52,64,16,9.22,UZ,1638414662
329,Yining,29.0361,114.5636,54.88,34,9,1.83,CN,1638414662
330,Hualmay,-11.0964,-77.6139,65.7,86,96,6.82,PE,1638414662
331,Kieta,-6.2167,155.6333,85.75,67,99,4.47,PG,1638414662
332,Gijang,35.2442,129.2139,42.57,42,0,6.62,KR,1638414663
333,Moussoro,13.6408,16.4901,72.03,20,9,17.22,TD,1638414663
334,Maricá,-22.9194,-42.8186,76.86,91,62,4.27,BR,1638414663
335,Koumac,-20.5667,164.2833,85.19,66,49,0.65,NC,1638414664
336,Loíza,18.4313,-65.8802,80.87,88,75,12.66,PR,1638414664
337,Banjar,-8.19,114.9675,84.06,81,100,1.16,ID,1638414664
338,Lixouri,38.2019,20.4314,55.96,67,90,4.94,GR,1638414664
339,Magadan,59.5667,150.8,9.32,84,99,31.9,RU,1638414665
340,Igrim,63.1906,64.4162,14.95,95,100,8.43,RU,1638414665
341,Shaoxing,30.011,120.5715,46.35,32,0,4.81,CN,1638414665
342,Fairlie,55.756,-4.8556,36.23,80,40,15.46,GB,1638414665
343,Strängnäs,59.3774,17.0312,32.31,71,100,13.09,SE,1638414666
344,Melo,-32.3667,-54.1833,54.48,88,17,7.2,UY,1638414666
345,Dandong,40.1292,124.3947,41.38,51,2,12.8,CN,1638414618
346,Rabo de Peixe,37.8,-25.5833,60.31,96,20,6.91,PT,1638414667
347,Sur,22.5667,59.5289,72.32,59,0,4.12,OM,1638414667
348,Salinas,36.6777,-121.6555,65.82,49,1,3.44,US,1638414569
349,Nacogdoches,31.6002,-94.6335,59.79,96,1,0.0,US,1638414667
350,Viedma,-40.8135,-62.9967,65.91,71,75,17.49,AR,1638414668
351,L'govskiy,51.6307,35.2775,26.94,88,25,7.58,RU,1638414668
352,Nhulunbuy,-12.2333,136.7667,92.01,58,75,12.66,AU,1638414668
353,Lorengau,-2.0226,147.2712,83.08,78,100,3.02,PG,1638414668
354,Chernyshevskiy,63.0128,112.4714,-12.98,97,100,1.48,RU,1638414669
355,Turan,16.0678,108.2208,71.58,83,40,6.91,VN,1638414669
356,Mananjary,-21.2167,48.3333,74.16,88,54,3.04,MG,1638414669
357,Maribo,54.7766,11.5002,34.95,93,100,29.37,DK,1638414670
